address,createdAt,createdBy,description,googlePlaceId,isActive,latitude,longitude,name,updatedAt,dish_createdAt,dish_description,glutenFree,vegan,vegetarian,dish_isActive,isHero,dish_name,placeId,dish_updatedAt
"1908 Pike Pl, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Russian bakery famous for hand-molded pastries and long lines.",ChIJRVYKxrJqkFQRFo-ZLZKrfRs,true,47.6099,-122.3423,Piroshky Piroshky,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Smoked salmon pate with cream cheese, dill, and onion.",false,false,false,true,true,Smoked Salmon Pate Piroshky,PLACE_001,2025-12-28T17:00:00Z
"1526 Pike Pl, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"No-frills counter serving massive Chinese hom bow buns.",ChIJjQjo9rJqkFQRrGSWuC3TVzk,true,0.0,0.0,Mee Sum Pastry,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Sweet and savory BBQ pork filling inside a fluffy steamed bun.",false,false,false,true,true,Curry Beef Hom Bow,PLACE_002,2025-12-28T17:00:00Z
"1600 Pike Pl, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Artisan cheesemaker where you can watch cheese being made.",ChIJ-cM_wrJqkFQR-c9Pb593-yk,true,0.0,0.0,Beecher's Handmade Cheese,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Penne pasta with signature Flagship cheese sauce.",false,false,true,true,true,World's Best Mac & Cheese,PLACE_003,2025-12-28T17:00:00Z
"1902 Pike Pl, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Classic French bakery with fresh baguettes and pastries.",ChIJSZYmxLJqkFQRw_JlbdtkVBE,true,0.0,0.0,Le Panier,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Delicate almond meringue cookies with seasonal fillings.",true,false,true,true,true,Macarons,PLACE_004,2025-12-28T17:00:00Z
"93 Pike St, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Fast-moving stand frying up mini doughnuts fresh to order.",ChIJqxWuFbRrkFQRkq6TOI-e6dk,true,0.0,0.0,Daily Dozen Doughnut Co,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Hot mini doughnuts tossed in cinnamon sugar.",false,false,true,true,true,Cinnamon Sugar Mini Doughnuts,PLACE_005,2025-12-28T17:00:00Z
"1509 Pike Pl #3, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Simple counter famous for grilled seafood sandwiches.",ChIJ_w9ywbJqkFQRx-5C5u9i1ck,true,0.0,0.0,Market Grill,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Blackened salmon fillet on a baguette with rosemary mayo.",false,false,false,true,true,Blackened Salmon Sandwich,PLACE_006,2025-12-28T17:00:00Z
"1530 Post Alley, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Award-winning chowder spot with legendary lines.",ChIJl1T7wbJqkFQRadJvMjwS9jo,true,0.0,0.0,Pike Place Chowder,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Creamy New England style clam chowder.",false,false,false,true,true,New England Clam Chowder,PLACE_007,2025-12-28T17:00:00Z
"1909 1st Ave, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Sassy spot for massive Southern-style biscuits and gravy.",ChIJo9H6jrJqkFQR1e8vj_j_1sE,true,0.0,0.0,Biscuit Bitch,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Biscuit smothered in gravy, cheese, and spicy hot link.",false,false,false,true,true,Smokin' Hot Bitch,PLACE_008,2025-12-28T17:00:00Z
"1506 Pike Pl #501, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Grocery store counter serving iconic Filipino sour soup.",ChIJQ_sP_LJqkFQR8R5r5p_5z0g,true,0.0,0.0,Oriental Mart,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Tamarind-based soup with fresh salmon heads and veggies.",false,false,false,true,true,Salmon Sinigang,PLACE_009,2025-12-28T17:00:00Z
"2001 4th Ave, Seattle, WA 98121",2025-12-28T17:00:00Z,ADMIN,"Bakery famous for its triple coconut cream pie.",ChIJgzpV8rJqkFQRtq2v8j_5z0g,true,0.0,0.0,Dahlia Bakery,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Rich custard pie loaded with toasted coconut.",false,false,true,true,true,Triple Coconut Cream Pie,PLACE_010,2025-12-28T17:00:00Z
"2111 7th Ave, Seattle, WA 98121",2025-12-28T17:00:00Z,ADMIN,"Upscale doughnut bar with custard-filled brioche.",ChIJe2y1uUsVkFQRFsydPiwmmA0,true,0.0,0.0,General Porpoise,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Brioche doughnut filled with vanilla bean custard.",false,false,true,true,true,Vanilla Custard Doughnut,PLACE_011,2025-12-28T17:00:00Z
"2124 5th Ave, Seattle, WA 98121",2025-12-28T17:00:00Z,ADMIN,"Coffee roaster and cafe known for old-fashioned doughnuts.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Top Pot Doughnuts,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Classic glaze old-fashioned cake doughnut.",false,false,true,true,true,Old Fashioned Doughnut,PLACE_012,2025-12-28T17:00:00Z
"504 5th Ave S, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Filipino cafe famous for ube cheesecake.",ChIJEWssZr5rkFQRel6OnOIsQog,true,0.0,0.0,Hood Famous Cafe + Bar,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Vibrant purple cheesecake with coconut cracker crust.",false,false,true,true,true,Ube Cheesecake,PLACE_013,2025-12-28T17:00:00Z
"526 S King St, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"French-Japanese bakery with unique pastry fusion.",ChIJ2UIdj7xqkFQRf5OVSNKl2DQ,true,0.0,0.0,Fuji Bakery,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Brioche rolled in cornflakes filled with custard.",false,false,true,true,true,Crunchy Cream Doughnut,PLACE_014,2025-12-28T17:00:00Z
"655 S Jackson St, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Old-school Chinese spot known for wings and pea vines.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Tai Tung,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Crispy garlic fried chicken wings.",false,false,false,true,true,Fried Chicken Wings,PLACE_015,2025-12-28T17:00:00Z
"650 S Jackson St, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"BBQ shop famous for roast pork and duck.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Kau Kau,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Honey glazed BBQ pork slices.",false,false,false,true,true,BBQ Pork,PLACE_016,2025-12-28T17:00:00Z
"504 5th Ave S, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Modern dumpling house known for pan-fried buns.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Dough Zone Dumpling House,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Pan-fried pork buns with crispy bottoms.",false,false,false,true,true,Q-Bao,PLACE_017,2025-12-28T17:00:00Z
"1227 S Weller St, Seattle, WA 98144",2025-12-28T17:00:00Z,ADMIN,"Vietnamese coffee roaster with egg cloud coffee.",ChIJPZxNkZ1rkFQREOhvtKhmGo4,true,0.0,0.0,Hello Em Viet Coffee,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Rich coffee topped with whipped egg yolk custard.",true,false,true,true,true,Egg Coffee,PLACE_018,2025-12-28T17:00:00Z
"1040 S Jackson St, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"The place that put Seattle Pho on the map.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Pho Bac Sup Shop,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Pho with tender bone-in short rib.",true,false,false,true,true,Short Rib Pho,PLACE_019,2025-12-28T17:00:00Z
"137 15th Ave E, Seattle, WA 98112",2025-12-28T17:00:00Z,ADMIN,"Legendary bakery known for twice-baked croissants.",ChIJ--L6NtNqkFQR28XtOJxSxL4,true,0.0,0.0,Bakery Nouveau,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Croissant filled with almond cream and syrup.",false,false,true,true,true,Twice Baked Almond Croissant,PLACE_020,2025-12-28T17:00:00Z
"219 Broadway E, Seattle, WA 98102",2025-12-28T17:00:00Z,ADMIN,"Hidden taco spot famous for pineapple pork tacos.",ChIJL2gQeTIVkFQREoqp0MpRH1U,true,0.0,0.0,Tacos Chukis,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Adobada pork with grilled pineapple.",true,false,false,true,true,House Taco,PLACE_021,2025-12-28T17:00:00Z
